Issue Type,Issue key,Issue id,Status Category,Status,Components,Components,Custom field (Start date),Sprint,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Dependency),Inward issue link (Dependency),Outward issue link (Dependency),Inward issue link (Gantt End to Start),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Outward issue link (Relates),Due date,Fix versions
Story,CLP-1205,31234,To Do,Grooming,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,,,,,,,,
Story,CLP-1203,31232,To Do,Grooming,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,CLP-1204,CLP-1215,CLP-1202,,,CLP-1215,,,,
Story,CLP-1202,31231,To Do,Ready for Development,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,CLP-1201,CLP-1203,,,,,,,,
Story,CLP-1201,31230,To Do,To Do,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,CLP-1202,,,,,,,
Story,CLP-1200,31229,To Do,Grooming,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,CLP-1199,,,,,,,,,
Story,CLP-1194,31199,To Do,New,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,,,,,,,,
Story,CLP-1188,31131,To Do,Ready for Review,Design,,,Design Sprint 7:  6/4-6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-1187,31129,To Do,Grooming,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,CLP-1112,,,,,,,
Story,CLP-1180,31097,To Do,New,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1179,31094,To Do,New,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1173,31076,To Do,In Progress,Design,,,Design Sprint 8:  6/18-7/2,,,,,,,,,,,,,,,Post MVP
Story,CLP-1169,31066,In Progress,Blocked,Design,,,Design Sprint 8:  6/18-7/2,,,,,,,,,,,,,,,
Story,CLP-1168,31063,To Do,To Do,Design,,,Design Sprint 8:  6/18-7/2,,,,,,,,,,,,,,,
Story,CLP-1167,31060,To Do,New,Design,,,Design Sprint 8:  6/18-7/2,,,,,,,,,,,,,,,
Story,CLP-1166,31057,To Do,New,Design,,,Design Sprint 8:  6/18-7/2,,,,,,,,,,,,,,,
Story,CLP-1165,31054,To Do,New,Design,,,Design Sprint 8:  6/18-7/2,,,,,,,,,,,,,,,
Story,CLP-1164,31051,To Do,To Do,Design,,,Design Sprint 8:  6/18-7/2,,,,,,,,,,,,,,,
Story,CLP-1160,31039,To Do,New,Design,,,,,,,,,,,,,,,,,,Post MVP
Story,CLP-1156,30999,To Do,New,Engineering - AI Ops,,,Eng-AIOps Sprint 7: 6/4 - 6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-1155,30996,To Do,New,Engineering - AI Ops,,,Eng-AIOps Sprint 7: 6/4 - 6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-1152,30989,To Do,Grooming,Engineering - AI Ops,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-1142,30966,To Do,Grooming,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,,,,,,,,
Story,CLP-1138,30931,To Do,Grooming,Engineering - Product,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-1136,30899,To Do,New,Engineering - AI Ops,,,Eng-AIOps Sprint 7: 6/4 - 6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-1133,30885,To Do,New,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1130,30877,To Do,New,Data Science,,,,,,,,,,,,,,,,,,
Story,CLP-1129,30874,To Do,New,Design,,,,,,,,,,,,,,,,,,
Story,CLP-1127,30868,To Do,New,Engineering - Product,,,,,,,,,,,,,,,,,,
Story,CLP-1124,30842,To Do,New,Engineering - Product,,,,CLP-1123,,,,,,,,,,,,,,
Story,CLP-1123,30841,To Do,New,Engineering - Product,,,,,CLP-1124,,,,,,,,,,,,,
Story,CLP-1105,30776,To Do,New,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,,,,,,,,
Story,CLP-1104,30775,To Do,New,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,,,,,,,,
Story,CLP-1103,30774,To Do,New,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,,,,,,,,
Story,CLP-1102,30773,To Do,New,Engineering - Product,,,,,,,,,,,,,,,,,,
Story,CLP-1078,30685,To Do,New,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1075,30673,To Do,Grooming,Design,Product,,,,,,,CLP-895,,,,,,,,,,MarTech 1.0
Story,CLP-1050,28464,To Do,To Do,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1048,29044,To Do,To Do,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1047,29043,To Do,To Do,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1046,29042,To Do,To Do,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1039,29052,To Do,To Do,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1038,30409,To Do,To Do,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1037,29055,To Do,To Do,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1036,29054,To Do,To Do,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1035,29691,To Do,To Do,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1034,29053,To Do,To Do,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1018,29045,To Do,To Do,Engineering - Platform,,,,,,,,,CLP-1002,,,,,,,,,
Story,CLP-1014,29047,To Do,To Do,Engineering - Platform,,,,,,,,,,,,,,,,,,
Story,CLP-1013,29046,To Do,To Do,Engineering - Platform,,,,,,,,,CLP-1002,,,,,,,,,
Story,CLP-1012,29448,To Do,To Do,Engineering - Platform,,,,,,,,,,,,,,,CLP-1015,,,
Story,CLP-952,28798,To Do,To Do,Engineering - Platform,,02/Apr/25 12:00 AM,,,,,,,,,,CLP-1094,,,,,,
Story,CLP-946,30628,To Do,In Progress,Design,,,Design Sprint 8:  6/18-7/2,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-943,30613,To Do,To Do,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-926,30527,To Do,New,Engineering - Product,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-925,30522,To Do,New,Engineering - Product,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-917,30485,To Do,Ready for Development,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,,,,,CLP-916,,,
Story,CLP-901,30463,To Do,Grooming,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,CLP-883,,,,,,,,,,MarTech 1.0
Story,CLP-900,30462,To Do,Grooming,Engineering - Product,,,,,,,,CLP-882,,,,,,,,,,MarTech 1.0
Story,CLP-896,30447,To Do,New,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-895,30442,To Do,Grooming,Design,Product,,,,,CLP-1075,,,,,,,,,,,,MarTech 1.0
Story,CLP-894,30437,To Do,New,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-893,30435,To Do,Grooming,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,CLP-892,,,,,,,,,,MarTech 1.0
Story,CLP-892,30434,To Do,Grooming,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,CLP-893,,CLP-891,,,,,,,,,,MarTech 1.0
Story,CLP-891,30433,To Do,Grooming,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,CLP-892,,CLP-890,,,,,,,,,,MarTech 1.0
Story,CLP-883,30374,To Do,Grooming,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,CLP-884,CLP-901,CLP-882,,,,,,,,,,MarTech 1.0
Story,CLP-881,30368,To Do,Grooming,Engineering - Product,,,,,,,,CLP-880,,,,,,,,,,MarTech 1.0
Story,CLP-880,30364,To Do,Grooming,Engineering - Product,,,,,,CLP-881,,,,,,,,,,,,MarTech 1.0
Story,CLP-872,30309,To Do,To Do,Engineering - AI Ops,,,Eng-AIOps Sprint 7: 6/4 - 6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-871,30304,To Do,Backlog,Engineering - AI Ops,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-863,30264,To Do,New,Engineering - Product,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-861,30260,To Do,New,Engineering - Product,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,CLP-857,,,,,,,,,,MarTech 1.0
Story,CLP-860,30256,To Do,New,Engineering - Product,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-858,30246,To Do,New,Engineering - Product,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-857,30241,To Do,New,Engineering - Product,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,CLP-861,,,,,,,,,,,,MarTech 1.0
Story,CLP-853,30221,To Do,Grooming,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-852,30216,To Do,New,Engineering - Product,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-851,30206,To Do,New,Engineering - Product,,,,,,,,,,,,,,,,CLP-735,,MarTech 1.0
Story,CLP-808,29757,To Do,To Do,Data Science,,,Data Sprint 7 - 6/4-6/18,,,,,,,,,,,,,,,
Story,CLP-807,29756,To Do,To Do,Data Science,,,Data Sprint 7 - 6/4-6/18,,,,,,,,,,,,,,,
Story,CLP-806,29755,To Do,To Do,Data Science,,,Data Sprint 7 - 6/4-6/18,,,,,,,,,,,,,,,
Story,CLP-805,29754,To Do,To Do,Data Science,,,Data Sprint 7 - 6/4-6/18,,,,,,,,,,,,,,,
Story,CLP-804,29753,To Do,To Do,Data Science,,,Data Sprint 7 - 6/4-6/18,,,,,,,,,,,,,,,
Story,CLP-799,29745,To Do,New,Engineering - AI Ops,,,Eng-AIOps Sprint 7: 6/4 - 6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-798,29742,To Do,New,Engineering - AI Ops,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-797,29739,To Do,New,Engineering - AI Ops,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-796,29736,To Do,New,Engineering - AI Ops,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-795,29733,To Do,New,Engineering - AI Ops,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-753,29602,To Do,New,Engineering - Product,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-751,29596,To Do,New,Engineering - Product,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-750,29593,To Do,New,Engineering - AI Ops,,,Eng-AIOps Sprint 7: 6/4 - 6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-741,29566,To Do,New,Engineering - Product,,,Eng-Prod Sprint 7: 6/4 / 6/18,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-723,29441,To Do,New,Engineering - Product,,,,,,,,,,,,,,,,,,
Story,CLP-683,29359,To Do,In Progress,Data Science,,23/Apr/25 12:00 AM,,,,,,,,,,,,,,,,Post MVP
Story,CLP-682,29358,To Do,In Progress,Data Science,,23/Apr/25 12:00 AM,,,,,,,,,,,,,,,,Post MVP
Story,CLP-681,29357,To Do,In Progress,Data Science,,23/Apr/25 12:00 AM,,,,,,,,,,,,,,,,Post MVP
Story,CLP-664,29324,To Do,Grooming,Engineering - Product,,,,,,,,,,,,,,,CLP-641,,,
Story,CLP-660,29317,To Do,To Do,Design,,,,,,,,,,,,,,,,,,
Story,CLP-527,26683,To Do,To Do,Engineering - Product,,,,,,,,,,,,,,,,,,
Story,CLP-512,26638,To Do,Backlog,Engineering - Platform,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-510,26635,To Do,New,Engineering - Product,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-507,26681,To Do,New,Engineering - Product,,,Eng-Prod Sprint 8: 6/18 - 7/2,,,,,,,,,,,,,,,
Story,CLP-480,28361,To Do,To Do,Data Science,,15/Apr/25 12:00 AM,,,,,,,,,,,,,,,,Post MVP
Story,CLP-479,28360,To Do,To Do,Data Science,,,,,,,,,,,,,,,,,,Post MVP
Story,CLP-478,28359,To Do,To Do,Data Science,,,,,,,,,,,,,,,,,,Post MVP
Story,CLP-477,28358,To Do,To Do,Data Science,,,,,,,,,,,,,,,,,,Post MVP
Story,CLP-476,28357,To Do,To Do,Data Science,,,,,,,,,,,,,,,,,,Post MVP
Story,CLP-386,26984,To Do,In Progress,Data Science,,12/Mar/25 12:00 AM,,,,,,,,,,,,,,,,Post MVP
Story,CLP-357,27270,To Do,UAT Testing,Data Science,,12/Mar/25 12:00 AM,,,,,,,,,,,,,,,,Post MVP
Story,CLP-338,27587,To Do,In Progress,Design,,,,,,,,,,,,,,,,,,
Story,CLP-337,27500,To Do,To Do,Design,,,,,,,,,,,,,,,,,23/Apr/25 12:00 AM,
Story,CLP-334,27501,To Do,In Progress,Design,,,,,,,,,,,,,,,,,,
Story,CLP-331,27795,To Do,To Do,Design,,,,,,,,,,,,,,,,,,
Story,CLP-231,24334,To Do,To Do,Data Science,,23/Apr/25 12:00 AM,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-140,27868,To Do,Backlog,Engineering - AI Ops,,,,,,,,,,,,,,,,,,
Story,CLP-139,27867,To Do,Backlog,Engineering - AI Ops,,,,,,,,,,,,,,,,,,
Story,CLP-138,27866,To Do,To Do,Engineering - AI Ops,,,Eng-AIOps Sprint 8: 6/18-7/2,,,,,,,,,,,,,,,
Story,CLP-134,27862,To Do,Backlog,Engineering - AI Ops,,,,,,,,,,,,,,,,,,
Story,CLP-131,27859,To Do,Backlog,Engineering - AI Ops,,,,,,,,,,,,,,,,,,
Story,CLP-83,27707,To Do,To Do,Design,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-78,27701,To Do,To Do,Design,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-70,27506,To Do,To Do,Design,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-69,27505,To Do,To Do,Design,,,,,,,,,,,,,,,,,,MarTech 1.0
Story,CLP-52,27249,To Do,In Progress,Data Science,Product,23/Apr/25 12:00 AM,,CLP-14,,,,,,,,,,,,,,MarTech 1.0
